Date,Oil_Value
6/21/2012,84.20197381
6/20/2012,88.07827951
6/19/2012,90.47943554
6/18/2012,89.66110434
6/15/2012,90.47943554
6/14/2012,90.35022535
6/13/2012,88.96121581
6/12/2012,89.71494192
6/11/2012,89.04735594
6/8/2012,90.55480815
6/7/2012,91.33006929
6/6/2012,91.54541961
6/5/2012,90.75939095
6/4/2012,90.42559796
6/1/2012,89.61803428
5/31/2012,93.18860739
5/30/2012,94.57787473
5/29/2012,97.74411194
5/25/2012,97.85180709
5/24/2012,97.6364168
5/23/2012,96.81793371
5/22/2012,98.71336823
5/21/2012,99.69339403
5/18/2012,98.51951697
5/17/2012,99.68262452
5/16/2012,99.95186238
5/15/2012,101.2118956
5/14/2012,102.0734567
5/11/2012,103.5273411
5/10/2012,104.550445
5/9/2012,104.2596681
5/8/2012,104.4750584
5/7/2012,105.4766232
5/4/2012,106.0689465
5/3/2012,110.4305998
5/2/2012,113.3168296
5/1/2012,114.329164
4/30/2012,112.9939407
4/27/2012,113.0585887
4/26/2012,112.6491513
4/25/2012,112.1858406
4/24/2012,111.5716846
4/23/2012,111.0975992
4/20/2012,111.0329512
4/19/2012,110.1925271
4/18/2012,110.6235138
4/17/2012,112.272038
4/16/2012,110.9036552
4/13/2012,110.7959085
4/12/2012,111.6686566
4/11/2012,110.6558378
4/10/2012,108.8456936
4/9/2012,110.3972458
4/6/2012,111.3130925
4/5/2012,111.3130925
4/4/2012,109.3305537
4/3/2012,112.0673193
4/2/2012,113.3818288
3/30/2012,111.5193364
3/29/2012,111.259536
3/28/2012,114.1065157
3/27/2012,116.1849192
3/26/2012,115.8601686
3/23/2012,115.6869684
3/22/2012,114.0415656
3/21/2012,116.1199691
3/20/2012,114.3230161
3/19/2012,117.0076206
3/16/2012,115.8926437
3/15/2012,113.7817652
3/14/2012,114.1281657
3/13/2012,115.5137681
3/9/2012,116.2606943
3/8/2012,115.3730428
3/7/2012,114.9183921
3/6/2012,113.3379394
3/5/2012,115.5245931
3/2/2012,115.502943
3/1/2012,117.8194969
2/29/2012,116.9751769
2/28/2012,116.4070711
2/27/2012,118.6030187
2/24/2012,119.9249572
2/23/2012,117.8054855
2/22/2012,116.1120931
2/21/2012,115.6313881
2/17/2012,112.7908589
2/16/2012,111.7748235
2/15/2012,111.2176428
2/14/2012,110.0595809
2/13/2012,110.2453078
2/10/2012,107.7980826
2/9/2012,109.0763208
2/8/2012,107.8417831
2/7/2012,107.5140297
2/6/2012,105.8752629
2/3/2012,106.8912983
2/2/2012,105.2743817
2/1/2012,106.6400207
1/31/2012,108.2419632
1/30/2012,108.5717011
1/27/2012,109.4290196
1/26/2012,109.5828973
1/25/2012,109.2531594
1/24/2012,108.7585526
1/23/2012,109.4510022
1/20/2012,108.2199806
1/19/2012,110.3412945
1/18/2012,110.5611198
1/17/2012,110.6930149
1/13/2012,108.483771
1/12/2012,108.9234215
1/11/2012,110.8688752
1/10/2012,112.3746783
1/9/2012,111.3524907
1/6/2012,111.6272723
1/5/2012,111.9020539
1/4/2012,113.4518221
1/3/2012,113.1660492
12/30/2011,109.2840867
12/29/2011,110.1908251
12/28/2011,109.8701493
12/27/2011,112.0595907
12/23/2011,110.2239984
12/22/2011,110.0581317
12/21/2011,109.1071622
12/20/2011,107.5037834
12/19/2011,103.8104833
12/16/2011,103.4234608
12/15/2011,103.7994255
12/14/2011,104.9936662
12/13/2011,110.7326565
12/12/2011,108.1119615
12/9/2011,109.9254382
12/8/2011,108.7422553
12/7/2011,111.119679
12/6/2011,111.993244
12/5/2011,111.6725682
