Date,Value
4/1/1989,20.32
3/1/1989,18.7
2/1/1989,16.89
1/1/1989,17.17
12/1/1988,15.31
11/1/1988,13.02
10/1/1988,12.41
9/1/1988,13.18
8/1/1988,14.89
7/1/1988,14.91
6/1/1988,15.54
5/1/1988,16.31
4/1/1988,16.6
3/1/1988,14.73
2/1/1988,15.73
1/1/1988,16.75
12/1/1987,17.05
11/1/1987,17.78
10/1/1987,18.76
9/1/1987,18.31
8/1/1987,18.98
7/1/1987,19.86
6/1/1987,18.86
5/1/1987,18.58
